OID,Asset_Group,Is_Connected,Install_Year,Diameter,Material,Avg_Kam_Avg,Max_Kam_Max,Min_Kam_Min,Avg_Kam_Count,Avg_Kam_NaN_Count,Max_Avg_gpm,Line_Length,Dist_to_Storage,Dist_to_Hydrant,Dist_to_PV,Dist_to_SV,Leak_Y_N
10784,1,1,1987,10,0,0,0,0,0,0,0,8,3956,44,1401,0,0
10554,2,1,0,0,0,0,0,0,0,0,0,22,2325,118,3048,83,0
4279,2,1,2005,2,0,32,406,7,123,30,0,41,6844,173,1151,165,0
4507,2,1,0,6,0,0,0,0,0,0,0,3,2140,0,3580,21,0
11604,2,1,1932,6,0,0,0,0,0,0,0,5,5107,0,492,310,0
9260,2,1,1957,0.75,84,0,0,0,0,0,0,15,3216,158,1434,167,0
40,2,1,1932,6,0,0,0,0,0,0,0,8,5099,5,491,302,0
11420,1,1,0,6,0,0,0,0,0,0,0,65,3904,15,2161,46,0
8835,1,1,1932,16,0,75,1049,9,153,0,0,36,5096,14,455,302,0
4243,1,1,1976,8,0,16,75,7,153,0,0,93,1379,8,3037,0,0
9723,1,1,2013,8,0,0,0,0,0,0,0,599,6110,56,698,40,0
1425,1,1,0,8,0,0,0,0,0,0,0,8,2325,121,3040,80,0
5349,1,1,0,2,83,0,0,0,0,0,0,10,1452,15,4208,0,0
6522,2,1,0,0.75,0,0,0,0,0,0,0,7,1460,13,4208,10,0
3342,1,1,1944,20,83,0,0,0,0,0,0,183,5609,58,352,182,0
7835,2,1,1957,6,0,0,0,0,0,0,0,4,3276,0,1388,13,0
968,1,1,1997,12,88,0,0,0,0,0,0,148,4947,19,1746,14,0
11305,2,1,0,6,84,0,0,0,0,0,0,15,3931,0,1422,27,0
1708,1,1,0,6,0,9,17,5,153,0,0,3,1419,47,4228,34,0
8251,2,1,0,0.75,0,0,0,0,0,0,0,7,1413,50,4228,36,0
9730,1,1,2013,8,0,0,0,0,0,0,0,9,6556,69,1338,47,0
11129,1,1,0,10,0,0,0,0,0,0,0,16,937,41,4480,0,0
34,2,1,1951,0.75,84,0,0,0,0,0,0,5,2600,107,3054,115,0
4104,2,1,2002,6,0,0,0,0,0,0,0,3,987,5,4443,34,0
1355,1,1,0,6,0,0,0,0,0,0,0,2,4560,20,1056,0,0
8332,1,1,1917,8,0,0,0,0,0,0,0,16,4562,15,1056,2,0
11846,1,1,0,6,0,0,0,0,0,0,0,32,4530,16,1058,0,0
7401,1,1,1985,8,88,0,0,0,0,0,0,11,832,173,1035,0,0
10445,1,1,1999,6,0,0,0,0,0,0,0,33,2942,167,2089,117,0
10446,1,1,1999,6,0,0,0,0,0,0,0,119,2964,55,2086,5,0
10166,1,1,1947,6,0,8,16,5,144,9,0,8,3566,28,1760,72,0
1707,1,1,0,6,0,9,17,5,153,0,0,30,1421,21,4228,16,0
3255,1,1,1958,20,83,0,0,0,0,0,0,13,3908,40,1466,5,0
3180,1,1,2002,8,0,0,0,0,0,0,0,34,957,8,4443,0,0
3705,1,1,1957,6,0,0,0,0,0,0,0,1,3240,113,1423,122,0
9048,2,1,1957,0.75,84,0,0,0,0,0,0,12,3240,113,1411,122,0
7632,1,1,0,6,0,0,0,0,0,0,0,5,3885,50,867,0,0
3784,2,1,1999,6,0,0,0,0,0,0,0,9,2611,13,1929,65,0
3704,1,1,1957,6,0,0,0,0,0,0,0,41,3231,115,1423,124,0
11159,1,1,1925,6,0,0,0,0,0,0,0,124,3092,83,3847,169,0
11160,1,1,1925,6,0,0,0,0,0,0,0,302,3092,3,3930,156,0
4796,1,1,1947,16,0,0,0,0,0,0,0,8,3877,54,859,5,0
3264,2,1,0,0.75,0,0,0,0,0,0,0,7,1463,10,4209,12,0
8192,1,1,1924,8,0,0,0,0,0,0,0,44,6708,103,1093,37,0
219,2,1,0,6,0,0,0,0,0,0,0,28,6076,8,1096,121,0
5648,2,1,0,6,0,0,0,0,0,0,0,8,6076,0,1091,121,0
8214,1,1,0,6,0,0,0,0,0,0,0,244,5076,63,464,41,0
1096,2,1,1957,0.75,84,5,6,5,153,0,0,5,3266,46,1394,56,0
5221,1,1,1909,6,0,0,0,0,0,0,0,17,2314,77,3259,14,0
